time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	-0.1774	2.9648	0	0	0	lidar	1.29445e-321	-0.1774	2.9648	0	2.75	0	1
1477010443400000	-0.0196895	3.10788	-0.0910585	5.19807e-17	-3.11936e-18	radar	7.4618	0.002903	3.2389	-0.022	3.0991	-0.1097	0.994
1477010443800000	-0.110012	3.14324	-0.258383	-0.0133744	-0.00690471	lidar	0.143496	-0.1928	3.2206	-0.0938	3.4924	-0.2334	0.9724
1477010444200000	-0.178399	3.35561	-0.277451	-1.07583	-0.79549	radar	5.96185	-0.163059	3.72013	-0.2143	3.8735	-0.3535	0.9354
1477010444600000	-0.233421	3.60575	-0.541469	-1.62231	-0.895391	lidar	2.12039	-0.2871	4.0658	-0.3817	4.2365	-0.4679	0.8838
1477010445000000	-0.585067	4.19052	-1.28354	-1.20811	-0.563159	radar	8.43158	-0.794497	4.69586	-0.5932	4.5757	-0.575	0.8181
1477010445400000	-0.638352	4.82722	-1.50979	-1.50974	-0.573167	lidar	1.27623	-0.7132	5.0821	-0.8456	4.8857	-0.673	0.7396
1477010445800000	-1.15112	4.9885	-1.03871	-0.9866	-0.847911	radar	1.79354	-1.22159	5.13386	-1.1348	5.1616	-0.7604	0.6494
1477010446200000	-1.27726	5.39477	-1.08856	-1.37274	-0.889217	lidar	0.104877	-1.2612	5.4925	-1.4564	5.3991	-0.8358	0.549
1477010446600000	-1.67711	5.74934	-1.2654	-1.03936	-0.258532	radar	1.1428	-1.75277	5.75573	-1.8051	5.5945	-0.898	0.4399
1477010447000000	-2.10824	5.82581	-1.0464	-0.510415	0.293189	lidar	1.89816	-2.3285	5.5298	-2.1756	5.7445	-0.9461	0.3239
1477010447400000	-2.6033	6.09895	-1.36372	-0.27151	0.367374	radar	0.796218	-2.72505	6.21863	-2.562	5.847	-0.9792	0.2028
1477010447800000	-3.10775	5.99644	-1.31691	0.0719764	0.494009	lidar	0.764343	-3.0616	5.7388	-2.9582	5.9002	-0.9969	0.0785
1477010448200000	-3.35655	6.23401	-1.02374	-0.0529019	0.33048	radar	1.23484	-3.34481	6.40751	-3.3579	5.9033	-0.9989	-0.0471
1477010448600000	-3.61692	6.07989	-0.844784	0.174299	0.369927	lidar	1.59827	-3.4004	5.7389	-3.7549	5.8563	-0.9851	-0.1719
1477010449000000	-4.16466	5.78256	-1.13027	0.555423	0.515321	radar	1.03485	-4.22141	5.70899	-4.1429	5.76	-0.9558	-0.294
1477010449400000	-4.46499	5.53576	-1.06788	0.751002	0.509385	lidar	0.048046	-4.4085	5.5692	-4.5157	5.6157	-0.9114	-0.4115
1477010449800000	-4.67359	5.35107	-0.882882	0.81364	0.392596	radar	0.557064	-4.6036	5.29564	-4.8675	5.4259	-0.8526	-0.5225
1477010450200000	-4.92967	5.20633	-0.809464	0.880555	0.351717	lidar	0.754093	-5.0534	5.4601	-5.1927	5.1935	-0.7804	-0.6252
1477010450600000	-5.25134	5.02937	-0.82968	0.827387	0.232312	radar	0.479107	-5.33647	5.09335	-5.4863	4.9222	-0.6959	-0.7181
1477010451000000	-5.60558	4.73471	-1.02764	0.840328	0.193959	lidar	0.599427	-5.8354	4.6952	-5.7435	4.6162	-0.6004	-0.7997
1477010451400000	-6.05078	3.81735	-1.78748	1.22254	0.377811	radar	3.861	-6.00793	3.59719	-5.9603	4.2804	-0.4955	-0.8686
